Faculty Initaial,Facluty name,Department,Profile link
ABH1,MS. ASHFIA BINTE HABIB,ECE,http://ece.northsouth.edu/people/ms-ashfia-binte-habib/
ABH3,AKM BAHALUL HAQUE,ECE,http://ece.northsouth.edu/people/akm-bahalul-haque/
AbO,MR. ABU OBAIDAH,ECE,http://ece.northsouth.edu/people/abu-obaidah/
AK,Dr. Abul Kalam Azad,M&P,http://www.northsouth.edu/faculty-members/shss/pss/dr.-abul-kalam-azad.html
AkO,Akid Ornob,ECE,https://www.linkedin.com/in/akid-ornob-b5485266
AKR,M Ashique Rahman,ECE,http://www.northsouth.edu/faculty-members/shss/pss/m-ashique-rahman.html
AlK1,Dr. Ahmedul Kabir,ECE,http://www.iit.du.ac.bd/about_iit/individual_teacher/67
ANS,Abu Naser Sarker,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/mr.abu-naser-sarker.html
Apv,Afroja Parvin,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/afroja-parvin.html
Aqu,DR. ATIQUR RAHMAN,ECE,http://ece.northsouth.edu/people/atiqur-rahman/
ARa2,DR. AHSANUR RAHMAN,ECE,http://ece.northsouth.edu/people/dr-ahsanur-rahman/
AtA,Dr. Atia Afroz,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/dr.-atia-afroz.html
AuZ,Muhammad Asad Uz Zaman,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/dr.-muhammad-asad-uz-zaman.html
AzK,DR. MOHAMMAD ASHRAFUZZAMAN KHAN,ECE,http://ece.northsouth.edu/people/dr-mohammad-ashrafuzzaman-khan/
Azm1,Md Arifuzzaman,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/md-arifuzzaman-azm1.html
CNP,Profile of Dr. Chandra Nath Podder,M&P,https://www.du.ac.bd/faculty/faculty_details/MAT/151
DMH,DR. DIHAN MD. NURUDDIN HASAN,ECE,http://ece.northsouth.edu/people/dr-dihanmd-nuruddinhasan/
FHE,MR. FAHIMUL HAQUE,ECE,http://ece.northsouth.edu/people/mr-fahimul-haque/
FKr,MR. SYED FATEH AL KASTUR,ECE,http://ece.northsouth.edu/people/syed-kastur/
Har,Dr. Hasina Akter,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/hasina.akter.html
HrR,Dr. Md Harunur Rashid,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/dr.-md-harunur-rashid.html
HSM,MD. SHAHRIAR HUSSAIN,ECE,http://ece.northsouth.edu/people/md-shahriar-hussain/
hzr,DR. HAFIZ ABDUR RAHMAN,ECE,http://ece.northsouth.edu/people/hafiz-rahman/
Iha,ISHTIAQUE HOSSAIN,ECE,http://ece.northsouth.edu/people/ishtiaque-hossain/
IJH,Israt Jahan,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/israt-jahan.html
IMR,MOHAMMAD REZAUL ISLAM,ECE,http://ece.northsouth.edu/people/mohammad-rezaul/
IqR,MR. IQBALUR RAHMAN ROKON,ECE,http://ece.northsouth.edu/people/iqbalur-rokon/
ITN,MR. INTISAR TAHMID NAHEEN,ECE,http://ece.northsouth.edu/people/mr-intisar-tahmid-naheen/
Jky,Dr. Md. Jakariya,ECE,http://www.northsouth.edu/faculty-members/shls/esm/md.jakariya.html
KAS,DR. K. M. A. SALAM,ECE,http://ece.northsouth.edu/people/kazi-salam/
KMM,DR. MOHAMMAD MONIRUJJAMAN KHAN,ECE,http://ece.northsouth.edu/people/monirujjaman-khan/
KMN1,DR. KAMRUDDIN MD. NUR,ECE,http://cs.aiub.edu/profile/kamruddin
lih,DR. LAMIA IFTEKHAR,ECE,http://ece.northsouth.edu/people/lamia-iftekhar/
MAM1,Dr. M. A. Masud,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/dr.-m.-a.-masud.html
MaNz ,Dr. Mohammad Ali Nawaz,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/dr.-mohammad-ali-nawaz.html
MAY,"Mohammad Abu Yousuf, PhD",ECE,https://www.juniv.edu/teachers/yousuf
Mdy,DR. MAHDY RAHMAN CHOWDHURY,ECE,http://ece.northsouth.edu/people/mahdy-rahman-chowdhury/
MfR,Dr. Miftahur Rahman,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/miftahur.rahman.html
Mla,Dr. Mamun Molla,M&P,http://www.northsouth.edu/faculty-members/seps/mathematics-physics/mla.html
